year,fertility_rate,inflation_rate
1980,68.40,10.334715
1981,67.30,6.131427
1982,67.30,3.212435
1983,65.70,4.300535
1984,65.50,3.545644
1985,66.30,1.898048
1986,65.40,3.664563
1987,65.80,4.077741
1988,67.30,4.827003
1989,69.20,5.397956
1990,70.90,4.234964
1991,69.30,3.028820
1992,68.40,2.951657
1993,67.00,2.607442
1994,65.90,2.805420
1995,64.60,2.931204
1996,64.10,2.337690
1997,63.60,1.552279
1998,64.30,2.188027
1999,64.40,3.376857
2000,65.90,2.826171
2001,65.10,1.586032
2002,65.00,2.270095
2003,66.10,2.677237
2004,66.40,3.392747
2005,66.70,3.225944
2006,68.60,2.852672
2007,69.30,3.839100
2008,68.10,-0.355546
2009,66.20,1.640043
2010,64.10,3.156842
2011,63.20,2.069337
2012,63.00,1.464833
2013,62.50,1.622223
2014,62.90,0.118627
2015,62.50,1.261583
2016,62.00,2.130110
2017,60.30,2.442583
2018,59.10,1.812210
2019,58.26,1.233584
